Grade;Area;Topic;Code;Description
PK-K;Dance Standards;Generate and conceptualize artistic ideas and work;PK-K.D.Cr.01; Use a variety of props when exploring movement.
PK-K;Dance Standards;Organize and develop artistic ideas and work;PK-K.D.Cr.02; 
PK-K;Dance Standards;Refine and complete artistic work;PK.K.D.Cr.03;a. Identify and distinguish between body parts in movements, (e.g., feet and toes).
PK-K;Dance Standards;Select, analyze and interpret artistic work for presentation;PK-K.D.P.04;b.Focus on and pursue a process or idea to completion during dance activities. 
PK-K;Dance Standards;Develop and refine artistic techniques and work for presentation;PK-K.D.P.05;With prompting and support, choose favorite movement ideas, practicing and demonstrating them. (PK-K.D.3)
PK-K;Dance Standards; Convey meaning through the presentation of artistic work;PK-K.D.P.06; Contrast movements in different levels (including, high, middle, low) and pathways (including, curvy, straight, circle, zig-zag, wavy, spiral). 
PK-K;Dance Standards; Perceive and analyze artistic work;PK-K.D.R.07; Maintain personal and general space safely and respectfully (e.g., stop, start, and control one?s own body).
PK-K;Dance Standards; Interpret intent and meaning in artistic work;PK-K.D.R.08;  Perform short dance works expressively. 
PK-K;Dance Standards; Apply criteria to evaluate artistic work;PK-K.D.R.09; Meet expectations of an audience member (e.g., listening quietly, clapping at the end).
PK-K;Dance Standards; Synthesize and relate knowledge and personal experiences to make art;PK.K.D.Co.10; Articulate personal responses to dance (e.g., ?this piece made me feel? this piece made me think??). 
PK-K;Dance Standards; Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;PK.K.D.Co.11;" Share observations regarding a dance performance (e.g., ""I noticed that everyone had a turn""). "
PK-K;Media Arts ;Generate and conceptualize artistic ideas and work;PK-K.MA.Cr.01; Identify examples of dance in their daily life.
PK-K;Media Arts ;Organize and develop artistic ideas and work;PK-K.MA.Cr.02; Respond in movement to music cues associated with various dance styles. e.g., tap, hip-hop, ballet, square).
PK-K;Media Arts ;Refine and complete artistic work;PK-K.MA.Cr.03; Explore moving images or interactive art using a variety of media and tools.
PK-K;Media Arts ;Select, analyze and interpret artistic work for presentation;PK-K.MA.P.04;Focus on and pursue a process or idea to completion during experimentation with a variety of media and tools. 
PK-K;Media Arts ;Develop and refine artistic techniques and work for presentation;PK-K.MA.P.05; With prompting and support, generate multiple ideas for a moving image or interactive piece. 
PK-K;Media Arts ;Convey meaning through the presentation of artistic work;PK-K.MA.P.06; Describe process and choices made when generating components for a moving image or interactive piece. 
PK-K;Media Arts ;Perceive and analyze artistic work;PK-K.MA.R.07; Select a media product from play and experimentation to share.
PK-K;Media Arts ;Interpret intent and meaning in artistic work;PK-K.MA.R.08; Give reasons for selecting a media product to present.
PK-K;Media Arts ;Apply criteria to evaluate artistic work;PK-K.MA.R.09; With prompting and support, identify similarities between multiple different media art pieces. 
PK-K;Media Arts ;Synthesize and relate knowledge and personal experiences to make art;PK-K.MA.Co.10; Share observations regarding a variety of media artworks.
PK-K;Media Arts ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;PK-K.MA.Co.11; Articulate personal responses of media artworks (e.g., ?this piece made me feel?? ?this piece made me think??).
PK-K;Music;Generate and conceptualize artistic ideas and work;PK-K.M.Cr.01;Identify examples of media artworks in the student's daily life.
PK-K;Music;Organize and develop artistic ideas and work;PK-K.M.Cr.02;With support, identify different types of media artwork (e.g., animation, website, digital space). 
PK-K;Music;Refine and complete artistic work;PK-K.M.Cr.03; With prompting and support, sing or play short original musical ideas. 
PK-K;Music;Select, analyze and interpret artistic work for presentation;PK-K.M.P.04;
PK-K;Music;Develop and refine artistic techniques and work for presentation;PK-K.M.P.05;a. Focus on and pursue a process or idea to completion during play and experimentation with music.
PK-K;Music;Convey meaning through the presentation of artistic work;PK-K.M.P.06;b. Name and demonstrate vocal production types (including speaking, singing, whispering). 
PK-K;Music;Perceive and analyze artistic work;PK-K.M.R.07; With prompting and support, choose favorite musical ideas, practicing and demonstrating them vocally or on an instrument. 
PK-K;Music;Interpret intent and meaning in artistic work;PK-K.M.R.08; Contrast different musical element opposites (including fast-slow, high-low, quiet-loud) through singing, playing, or moving.
PK-K;Music;Apply criteria to evaluate artistic work;PK-K.M.R.09; Demonstrate beat competency by using a steady beat when performing pieces that incorporate simple rhythmic patterns (e.g., body percussion, classroom instruments, or movement). 
PK-K;Music;Synthesize and relate knowledge and personal experiences to make art;PK-K.M.Co.10; Perform a short original musical idea through singing and playing with expression.
PK-K;Music;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;PK-K.M.Co.11; Meet expectations of an audience member (e.g., listening quietly, clapping at the end).
PK-K;Theatre;Generate and conceptualize artistic ideas and work;PK-K.T.Cr.01; Share observations regarding diverse musical works (e.g., world, popular, folk, classical, etc.)
PK-K;Theatre;Organize and develop artistic ideas and work;PK-K.T.Cr.02; Articulate personal responses to music (e.g., ?this piece made me feel?? ?this piece made me think??)
PK-K;Theatre;Refine and complete artistic work;PK-K.T.Cr.03; Identify examples of music they hear or perform in their daily life (e.g. in advertisements or radio). 
PK-K;Theatre;Select, analyze and interpret artistic work for presentation;PK-K.T.P.04; Move to different genres and styles of music (e.g., classical, jazz, rock, country, hip-hop).
PK-K;Theatre;Develop and refine artistic techniques and work for presentation;PK-K.T.P.05;Contribute story ideas in dramatic play.
PK-K;Theatre;Convey meaning through the presentation of artistic work;PK-K.T.P.06; Use everyday objects to create puppets, props, scenery, and costume pieces in dramatic play.
PK-K;Theatre;Perceive and analyze artistic work;PK-K.T.R.07; ÿRepeat improvised scenes in different ways (e.g., imagine this character was happy, redo the scene if it were raining).
PK-K;Theatre;Interpret intent and meaning in artistic work;PK-K.T.R.08;ÿIdentify realistic feelings characters might have in a theatrical work.
PK-K;Theatre;Apply criteria to evaluate artistic work;PK-K.T.R.09; Demonstrate appropriate behaviors of a theatrical presentation (e.g., waiting to enter, bowing at the end).ÿ
PK-K;Theatre;Synthesize and relate knowledge and personal experiences to make art;PK-K.T.Co.10;Portray simple characters in dramatic play.
PK-K;Theatre;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;PK-K.T.Co.11;Meet expectations of an audience member (e.g., listening quietly, clapping at the end).
PK-K;Visual Arts ;Generate and conceptualize artistic ideas and work;PK-K.V.Cr.01;"ÿShare observations regarding a theatrical work (e.g., ""I noticed that all the mean characters were dressed in red"")."
PK-K;Visual Arts ;Organize and develop artistic ideas and work;PK-K.V.Cr.02;Articulate personal responses to theatrical work (e.g., ?this piece made me feel?? ?this piece made me think??).
PK-K;Visual Arts ;Refine and complete artistic work;PK-K.V.Cr.03; With prompting and support, identify similarities between elements of a theatrical work and personal experiences.ÿ
PK-K;Visual Arts ;Select, analyze and interpret artistic work for presentation;PK-K.V.P.04;With support, identify different types of theatrical works (e.g., puppetry, musicals, improvisation.
PK-K;Visual Arts ;Develop and refine artistic techniques and work for presentation;PK-K.V.P.05;Experiment with a wide variety of both two- and three-dimensional materials, including recycled/repurposed ones after looking at images from several artists who use those materials. 
PK-K;Visual Arts ;Convey meaning through the presentation of artistic work;PK-K.V.P.06; Focus on and pursue a process or idea to completion when experimenting with a wide variety of art materials. 
PK-K;Visual Arts ;Perceive and analyze artistic work;PK-K.V.R.07; Investigate more than one artistic idea using the same medium. 
PK-K;Visual Arts ;Interpret intent and meaning in artistic work;PK-K.V.R.08;Create an image or object and describe what it represents.
PK-K;Visual Arts ;Apply criteria to evaluate artistic work;PK-K.V.R.09;Select and share a product created through experimentation with materials. 
PK-K;Visual Arts ;Synthesize and relate knowledge and personal experiences to make art;PK-K.V.Co.10;Give reasons for selecting an artwork to share.
PK-K;Visual Arts ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;PK-K.V.Co.11;With prompting and support, identify similarities between multiple pieces of art. 
 1-2;Dance Standards;Generate and conceptualize artistic ideas and work;1-2.D.Cr.01;" Describe what is seen in an artwork (e.g., ?I see a dot; I see yellow in the corner; I see a round part?), interpret a possible meaning, and explain why the meaning makes sense."
 1-2;Dance Standards;Organize and develop artistic ideas and work;1-2.D.Cr.02; Select a work that evokes feelings and describe the connection between the work and the emotional response. 
 1-2;Dance Standards;Refine and complete artistic work;1-2.D.Cr.03;Identify examples of art in daily life and use them as inspiration for their artwork.
 1-2;Dance Standards;Select, analyze and interpret artistic work for presentation;1-2.D.P.04;With support, identify different types of artwork (e.g., paintings, sculpture, performance, fiber) within their community and other places they have encountered.
 1-2;Dance Standards;Develop and refine artistic techniques and work for presentation;1-2.D.P.05; Generate dance ideas that utilize levels (e.g., high, low), pathways (e.g., straight, curvy), shapes (e.g., symmetric and asymmetric) and directions (e.g., backward, diagonal).
 1-2;Dance Standards;Convey meaning through the presentation of artistic work;1-2.D.P.06;Initiate movements from locomotive or non-locomotive movements using different body parts. 
 1-2;Dance Standards;Perceive and analyze artistic work;1-2.D.R.07;Demonstrate accuracy in moving to a musical beat and responding to changes in tempo. 
 1-2;Dance Standards;Interpret intent and meaning in artistic work;1-2.D.R.08; Demonstrate the difference between pantomime and gesture in dance. 
 1-2;Dance Standards;Apply criteria to evaluate artistic work;1-2.D.R.09;Demonstrate partner skills of copying, leading, and following. 
 1-2;Dance Standards;Synthesize and relate knowledge and personal experiences to make art;1-2.D.Co.10;Move in ways that match cues, directions and artistic interpretations.
 1-2;Dance Standards;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;1-2.D.Co.11; With support, identify the basic elements of dance (including, body, action, space, time, and energy). 
 1-2;Media Arts ;Generate and conceptualize artistic ideas and work;1-2.MA.Cr.01; Move to and categorize dance works by mood. 
 1-2;Media Arts ;Organize and develop artistic ideas and work;1-2.MA.Cr.02; Demonstrate active observation as an audience member (e.g., noticing details, making connections).
 1-2;Media Arts ;Refine and complete artistic work;1-2.MA.Cr.03;Make connections between personal experience and a work of dance. 
 1-2;Media Arts ;Select, analyze and interpret artistic work for presentation;1-2.MA.P.04;Identify different styles of dance (e.g., tap, hip-hop, ballet, square). 
 1-2;Media Arts ; Develop and refine artistic techniques and work for presentation;1-2.MA.P.05; Generate ideas using a variety of platforms (e.g., webpages, animation, videos).
 1-2;Media Arts ;Convey meaning through the presentation of artistic work;1-2.MA.P.06;"Develop plans for media arts productions (e.g., a student says before starting a media project, ""I'm going to make an animation using only triangles"")."
 1-2;Media Arts ;Perceive and analyze artistic work;1-2.MA.R.07;Refine ideas using artistic elements (e.g. color, movement) for moving imagery or interactive art. 
 1-2;Media Arts ;Interpret intent and meaning in artistic work;1-2.MA.R.08;Identify different times, places, audiences, and contexts for presenting media artwork. 
 1-2;Media Arts ;Apply criteria to evaluate artistic work;1-2.MA.R.09;Organize artwork with artistic intent (e.g. by theme, concept, or other organizational principle).
 1-2;Media Arts ;Synthesize and relate knowledge and personal experiences to make art;1-2.MA.Co.10;Identify one's best work or one's favorite work for sharing. 
 1-2;Media Arts ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;1-2.MA.Co.11;With support, identify the basic elements of media art (collections of images and sound, technology, interactivity). 
 1-2;Music;Generate and conceptualize artistic ideas and work;1-2.M.Cr.01;Categorize artwork by subject matter and mood.
 1-2;Music;Organize and develop artistic ideas and work;1-2.M.Cr.02;Demonstrate close observation of artistic work (e.g. noticing details, making connections).
 1-2;Music;Refine and complete artistic work;1-2.M.Cr.03;Make connections between an artwork and their personal experience. 
 1-2;Music;Select, analyze and interpret artistic work for presentation;1-2.M.P.04;Identify examples of different contexts within media artworks.
 1-2;Music;Develop and refine artistic techniques and work for presentation;1-2.M.P.05; Improvise short original musical ideas. 
 1-2;Music;Convey meaning through the presentation of artistic work;1-2.M.P.06;Connect multiple original musical ideas together into a single piece. 
 1-2;Music;Perceive and analyze artistic work;1-2.M.R.07; Explore different musical ideas by experimenting with the voice or instruments. 
 1-2;Music;Interpret intent and meaning in artistic work;1-2.M.R.08; Sing songs using head voice, appropriately produced tone quality, and correct posture. 
 1-2;Music;Apply criteria to evaluate artistic work;1-2.M.R.09;Individually sing and play simple phrases following basic standard notation (e.g., half and quarter notes or matching simple pentatonic patterns). 
 1-2;Music;Synthesize and relate knowledge and personal experiences to make art;1-2.M.Co.10;Sing and play in groups matching dynamic levels and responding to the cues of a conductor.
 1-2;Music;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;1-2.M.Co.11;With support, identify basic elements in familiar songs (including tempo, dynamics, rhythm, melody).
 1-2;Theatre;Generate and conceptualize artistic ideas and work;1-2.T.Cr.01;Categorize musical works by feeling or mood. 
 1-2;Theatre;Organize and develop artistic ideas and work;1-2.T.Cr.02;Demonstrate active listening as an audience member (e.g., noticing details, making connections).
 1-2;Theatre;Refine and complete artistic work;1-2.T.Cr.03;Make connections between personal experience and a musical work. 
 1-2;Theatre;Select, analyze and interpret artistic work for presentation;1-2.T.P.04; Identify different genres and styles of music (e.g., folk songs, lullaby, jazz, reggae).
 1-2;Theatre;Develop and refine artistic techniques and work for presentation;1-2.T.P.05;
 1-2;Theatre;Convey meaning through the presentation of artistic work;1-2.T.P.06;
 1-2;Theatre;Perceive and analyze artistic work;1-2.T.R.07;a. Propose ideas for costumes, props, and scenery in a guided drama experience.
 1-2;Theatre;Interpret intent and meaning in artistic work;1-2.T.R.08;b. Contribute to the development of a sequential plot.
 1-2;Theatre;Apply criteria to evaluate artistic work;1-2.T.R.09;
 1-2;Theatre;Synthesize and relate knowledge and personal experiences to make art;1-2.T.Co.10;a. Build on others' ideas in dramatic play or a guided drama experience. (1-2.T.Cr.02.a)
 1-2;Theatre;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;1-2.T.Co.11;b. Creates props, costumes, or sets based on a plan (e.g., students place sheets over chairs to create a forest).
 1-2;Visual Arts ;Generate and conceptualize artistic ideas and work;1-2.V.Cr.01;
 1-2;Visual Arts ;Organize and develop artistic ideas and work;1-2.V.Cr.02;a. Propose new details to existing character, plot, and story in a guided drama experience. (1-2.T.Cr.03.a)
 1-2;Visual Arts ;Refine and complete artistic work;1-2.V.Cr.03;b. Develop voices and body movements consistent with the character.
 1-2;Visual Arts ;Select, analyze and interpret artistic work for presentation;1-2.P.04 ;Identify characters and settings in a specific theatrical work (e.g., the characters are the wolf and the three pigs, the setting is a Chinese village). 
 1-2;Visual Arts ;Develop and refine artistic techniques and work for presentation;1-2.P.05;Contribute to the adaptation of dialogue and plot in a guided drama experience. 
 1-2;Visual Arts ;Convey meaning through the presentation of artistic work;1-2.P.06; Portray a character based on an existing plan (e.g., script, improvisation structure). 
 1-2;Visual Arts ;Perceive and analyze artistic work;1-2.V.R.07;With support, identify the basic elements of theatre (including, character, plot). 
 1-2;Visual Arts ;Interpret intent and meaning in artistic work;1-2.V.R.08;"Share observations regarding a theatrical work (e.g., ""I noticed that the set looked like a city street"")."
 1-2;Visual Arts ;Apply criteria to evaluate artistic work;1-2.V.R.09;Demonstrate active observation as an audience member (e.g., noticing details, making connections).
 1-2;Visual Arts ;Synthesize and relate knowledge and personal experiences to make art;1-2.V.Co.10;Make connections between personal experience and a character's actions or emotions. 
 1-2;Visual Arts ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;1-2.V.Co.11;Identify different sources of theatrical works (e.g., folk and fairy talks, everyday life). 
 3-4;Dance Standards;Generate and conceptualize artistic ideas and work;3-4.Cr.D.01;Use a wide variety of two- and three-dimensional media that communicates a teacher directed idea after looking at images made by artists who use similar materials.
 3-4;Dance Standards;Organize and develop artistic ideas and work;3-4.Cr.D.02;Focus on and pursue a process or idea to completion by setting up, maintaining, and cleaning up a suitable workspace for a wide variety of art materials and tools. 
 3-4;Dance Standards;Refine and complete artistic work;3-4.Cr.D.03; Use different tools to experiment with artistic elements (e.g. using found objects to create texture). 
 3-4;Dance Standards;Select, analyze and interpret artistic work for presentation;3-4.D.P.04;Explain more than one purpose for presenting art (e.g., building a portfolio, curating an exhibit in a museum, producing an advertisement campaign). 
 3-4;Dance Standards;Develop and refine artistic techniques and work for presentation;3-4.D.P.05;Organize artwork with artistic intent (e.g. by theme, concept, or other organizational principle). 
 3-4;Dance Standards;Convey meaning through the presentation of artistic work;3-4.D.P.06;Identify one's best work or one's favorite work for sharing and explain the choice.
 3-4;Dance Standards;Perceive and analyze artistic work;3-4.D.R.07;With support, identify the basic elements within an artwork (including, color, line, shape).
 3-4;Dance Standards;Interpret intent and meaning in artistic work;3-4.D.R.08; Categorize artwork by subject matter and mood. 
 3-4;Dance Standards;Apply criteria to evaluate artistic work;3-4.D.R.09;Set a criterion for judging a work (e.g., it is detailed, it has bright colors). 
 3-4;Dance Standards;Synthesize and relate knowledge and personal experiences to make art;3-4.D.Co.10;Make connections between personal experience and an artwork to use as inspiration for their work. 
 3-4;Dance Standards;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;3-4.D.Co.11;Identify different types of artwork (e.g., paintings, sculpture, performance, fiber) within their community and other places they have encountered.
 3-4;Media Arts ;Generate and conceptualize artistic ideas and work;3-4.MA.Cr.01;Improvise movement ideas that explore space (e.g., levels, shapes, directions, pathways) and time (e.g., fast and slow) as elements of dance. 
 3-4;Media Arts ;Organize and develop artistic ideas and work;3-4.MA.Cr.02;"Create a dance phrase with a beginning, middle, and end; be able to repeat it. "
 3-4;Media Arts ;Refine and complete artistic work;3-4.MA.Cr.03;Respond to a movement challenge and hypothesize possible solutions (e.g. how to complete entrances and exits in a given space). 
 3-4;Media Arts ;Select, analyze and interpret artistic work for presentation;3-4.MA.P.04; Demonstrate accuracy in memorizing and reproducing movement phrases. 
 3-4;Media Arts ;Develop and refine artistic techniques and work for presentation;3-4.MA.P.05;Identify strategies to improve strength, flexibility, endurance, balance, and coordination. 
 3-4;Media Arts ;Convey meaning through the presentation of artistic work;3-4.MA.P.06;Move expressively to a musical beat and responding to changes in tempo.
 3-4;Media Arts ;Perceive and analyze artistic work;3-4.MA.R.07;Analyze how different movement elements (e.g. space, time, effort) contribute to the meaning of a dance. 
 3-4;Media Arts ;Interpret intent and meaning in artistic work;3-4.MA.R.08;Explain the relationship between culture, venue, and audience behavior (e.g., street performance, formal presentation). 
 3-4;Media Arts ;Apply criteria to evaluate artistic work;3-4.MA.R.09;Identify how the basic technical elements of dance (e.g., lighting, sound) can be used to support the artist's purpose. 
 3-4;Media Arts ;Synthesize and relate knowledge and personal experiences to make art;3-4.MA.Co.10;Distinguish one?s own preferences in dance from those of others (e.g., peers, friends or family).
 3-4;Media Arts ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;3-4.MA.Co.11;Describe ways dance performance is different from other forms of movement used in sports and everyday gestures. (i.e., identify the role of artistic intent).
 3-4;Music;Generate and conceptualize artistic ideas and work;3-4.M.Cr.01;Generate media arts ideas that utilize moving imagery and interactivity. 
 3-4;Music;Organize and develop artistic ideas and work;3-4.M.Cr.02;Organize and plan an idea using a teacher-selected strategy (e.g., sketching, brainstorming, simplified story boarding, flow charts, or modeling). 
 3-4;Music;Refine and complete artistic work;3-4.M.Cr.03; Respond to artistic challenges and hypothesize possible outcomes (e.g., How can moving images be used to teach others about endangered species?). 
 3-4;Music;Select, analyze and interpret artistic work for presentation;3-4.M.P.04;Explain the process used when making personal art, including documenting the early stages of the creative process using a variety of methods. 
 3-4;Music;Develop and refine artistic techniques and work for presentation;3-4.M.P.05;Refine a specific technique to produce a media artwork (e.g., creating realistic interactive object like a basketball). 
 3-4;Music;Convey meaning through the presentation of artistic work;3-4.M.P.06;Create a work that expresses, evokes, or communicates a directed idea (e.g., students create a work that delivers a message to a specified audience). 
 3-4;Music;Perceive and analyze artistic work;3-4.M.R.07;Analyze how aesthetic principles impact the effect and purpose of media artworks. 
 3-4;Music;Interpret intent and meaning in artistic work;3-4.M.R.08;Explain how a piece of artwork can identify multiple perspectives and diverse community ideas and can help connect oneself to a community or culture. 
 3-4;Music;Apply criteria to evaluate artistic work;3-4.M.R.09; Identify how the basic technical elements of media artwork (e.g., moving image, sound, interactivity) can be used to support the artist's purpose. 
 3-4;Music;Synthesize and relate knowledge and personal experiences to make art;3-4.M.Co.01;Distinguish personal preferences in media arts from those of others (e.g., friends, family, teachers). 
 3-4;Music;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;3-4.M.Co.02;Describe ways media arts can be used to express ideas in unique ways. 
 3-4;Theatre;Generate and conceptualize artistic ideas and work;3-4.T.Cr.01;Sing or play original musical ideas that explore more complex rhythmic and melodic concepts (including, syncopation, three-four time signature, and minor keys). 
 3-4;Theatre;Organize and develop artistic ideas and work;3-4.T.Cr.02;"Organize original musical ideas with clear beginnings, middles, and endings; using simple binary or ternary forms. "
 3-4;Theatre;Refine and complete artistic work;3-4.T.Cr.03;Respond to a musical challenge and hypothesize possible solutions. 
 3-4;Theatre;Select, analyze and interpret artistic work for presentation;3-4.T.P.04;Individually read moderately complicated rhythms and melodies (e.g., melodies with alternating eighth notes, quarter notes and half notes, pentatonic and diatonic tonalities) in standard notation in treble clef.
 3-4;Theatre;Develop and refine artistic techniques and work for presentation;3-4.T.P.05;Sing and play musical canons, rounds, and music in at least two parts. 
 3-4;Theatre;Convey meaning through the presentation of artistic work;3-4.T.P.06;Sing and play in groups responding appropriately to cues of a conductor. 
 3-4;Theatre;Perceive and analyze artistic work;3-4.T.R.07;Analyze how expressive qualities (e.g. tempo, dynamics, timbre) are used to demonstrate a composer?s musical intent. 
 3-4;Theatre;Interpret intent and meaning in artistic work;3-4.T.R.08;Explain the relationship between culture, venue, and audience behavior (e.g., street performance, symphony). 
 3-4;Theatre;Apply criteria to evaluate artistic work;3-4.T.R.09;Identify how the elements of music (e.g., tempo, dynamics, rhythm, melody, harmony) can be used to support the artist's purpose. 
 3-4;Theatre;Synthesize and relate knowledge and personal experiences to make art;3-4.T.Co.10; Distinguish one?s own preferences in music from those of others (e.g., friends or family).
 3-4;Theatre;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;3-4.T.Co.11;Describe ways music is different from other forms of everyday sounds. (i.e. what is the role of artistic intent). 
 3-4;Visual Arts ;Generate and conceptualize artistic ideas and work;3-4.V.Cr.01;Create and articulate sensory details of imagined worlds and improvised stories. 
 3-4;Visual Arts ;Organize and develop artistic ideas and work;3-4.V.Cr.02;"Record theatrical ideas for future use (e.g., writing a script with a clear beginning, middle, and end; describing details of settings or characters? costumes)."
 3-4;Visual Arts ;Refine and complete artistic work;3-4.V.Cr.03;Respond to a theatrical challenge and hypothesize possible solutions.
 3-4;Visual Arts ;Select, analyze and interpret artistic work for presentation;3-4.V.P.04;Explain how choices about technical elements (e.g. lighting, sound) in theatrical work support the director's purpose. 
 3-4;Visual Arts ;Develop and refine artistic techniques and work for presentation;3-4.V.P.05;Demonstrate the use of technical elements to support a theme or idea in a theatrical work. 
 3-4;Visual Arts ;Convey meaning through the presentation of artistic work;3-4.V.P.06;Perform scenes aligned with a teacher directed mood. (e.g., students improvise scenes in the mood of different adverbs, e.g., excitedly, fearfully, happily). 
 3-4;Visual Arts ;Perceive and analyze artistic work;3-4.V.R.07;Analyze how essential events in a story make up the dramatic structure of a theatrical work. 
 3-4;Visual Arts ;Interpret intent and meaning in artistic work;3-4.V.R.08;Explain how a theatrical work can help identify multiple perspectives and diverse community ideas, and can help connect to a community or culture.
 3-4;Visual Arts ;Apply criteria to evaluate artistic work;3-4.V.R.09;
 3-4;Visual Arts ;Synthesize and relate knowledge and personal experiences to make art;3-4.V.Co.10;a. Identify how the basic technical elements of theatre (e.g., lighting, sound) are used to support the artist's purpose.
 3-4;Visual Arts ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;3-4.V.Co.11;b. Identify the basic elements of theatre (e.g., character, plot). 
